,imdbid,title,year,rating,runtime,genre,released,director,writer,cast,metacritic,imdbrating,imdbvotes,poster,plot,fullplot,language,country,awards,lastupdated,type,primary_genre,missing_count
count,46014.0,46014,45938.0,2.0,43377.0,45615,43002,46014,46014,46014,9401.0,44300.0,44299.0,35798,42161,41421,44899,45830,23542,46014,45976,46014,
unique,,41512,,,,1450,15724,18882,36501,42939,,,,34324,40683,39987,2610,2938,2901,45562,2,27,
top,,Hamlet,,,,Drama,2015-09-01,nan,nan,nan,,,,https://m.media-amazon.com/images/M/MV5BMTk3NjQ1OTk4M15BMl5BanBnXkFtZTYwMDczNDg5._V1_SX300.jpg,The plot is unknown at this time.,Plot is unknown.,English,USA,1 nomination.,2015-08-29 00:20:20.843000000,movie,Drama,
freq,,11,,,,5455,37,605,3072,1086,,,,6,11,9,25325,20589,3158,5,45585,11381,
mean,855206.2154561655,,1991.132657059515,18.0,97.21089517486226,,,,,,56.89628762897564,6.381453724604965,11800.552134359692,,,,,,,,,,
std,1141978.786455519,,23.912927538120393,0.0,32.74589986855328,,,,,,17.715373418750488,1.1831133330562216,49344.99059211094,,,,,,,,,,
min,1.0,,1874.0,18.0,1.0,,,,,,1.0,1.1,5.0,,,,,,,,,,
25%,81657.5,,1977.0,18.0,86.0,,,,,,45.0,5.8,326.0,,,,,,,,,,
50%,252487.5,,2000.0,18.0,95.0,,,,,,58.0,6.6,999.0,,,,,,,,,,
75%,1370867.5,,2010.0,18.0,107.0,,,,,,70.0,7.2,3829.0,,,,,,,,,,
max,5023260.0,,2019.0,18.0,1256.0,,,,,,100.0,9.6,1521105.0,,,,,,,,,,
imdbid,,,,,,,,,,,,,,,,,,,,,,,0.0
title,,,,,,,,,,,,,,,,,,,,,,,0.0
year,,,,,,,,,,,,,,,,,,,,,,,76.0
rating,,,,,,,,,,,,,,,,,,,,,,,46012.0
runtime,,,,,,,,,,,,,,,,,,,,,,,2637.0
genre,,,,,,,,,,,,,,,,,,,,,,,399.0
released,,,,,,,,,,,,,,,,,,,,,,,3012.0
director,,,,,,,,,,,,,,,,,,,,,,,0.0
writer,,,,,,,,,,,,,,,,,,,,,,,0.0
cast,,,,,,,,,,,,,,,,,,,,,,,0.0
metacritic,,,,,,,,,,,,,,,,,,,,,,,36613.0
imdbrating,,,,,,,,,,,,,,,,,,,,,,,1714.0
imdbvotes,,,,,,,,,,,,,,,,,,,,,,,1715.0
poster,,,,,,,,,,,,,,,,,,,,,,,10216.0
plot,,,,,,,,,,,,,,,,,,,,,,,3853.0
fullplot,,,,,,,,,,,,,,,,,,,,,,,4593.0
language,,,,,,,,,,,,,,,,,,,,,,,1115.0
country,,,,,,,,,,,,,,,,,,,,,,,184.0
awards,,,,,,,,,,,,,,,,,,,,,,,22472.0
lastupdated,,,,,,,,,,,,,,,,,,,,,,,0.0
type,,,,,,,,,,,,,,,,,,,,,,,38.0
primary_genre,,,,,,,,,,,,,,,,,,,,,,,0.0
